query_idx,query_start,persistence_mse,persistence_mae,random_mse,random_mae,random_true_transition_similarity,M0_mse,M0_mae,M0_mean_context_similarity,M0_mean_true_transition_similarity,M0_beats_persistence,M0_skill_vs_persistence,M1_mse,M1_mae,M1_mean_context_similarity,M1_mean_true_transition_similarity,M1_beats_persistence,M1_skill_vs_persistence,M2_mse,M2_mae,M2_mean_context_similarity,M2_mean_true_transition_similarity,M2_beats_persistence,M2_skill_vs_persistence
20,240,0.08660128161046625,0.2240738756010492,1.8090301087221476,1.1749069523090634,-0.17533085774645935,0.4329376044584991,0.5350408770898109,0.17672657622413326,-0.17533085774645935,0.0,-3.9992055129837265,1.0441890259750422,0.8822554183671768,0.19293336312220663,-0.17533085774645935,0.0,-11.057431559406,1.253937126525324,0.9728776465069419,0.1799583828540837,-0.17533085774645935,0.0,-13.47942920943769
21,252,0.12556666067718905,0.2765680685486633,2.679504030902642,1.4896306461571438,-0.3788755352163372,1.214033543285332,0.9428150184812539,0.24633573959703678,-0.31148472944167965,0.0,-8.668438554772193,1.6091269280684042,1.1237738352797229,0.24074994002199604,-0.31148472944167965,0.0,-11.814921726756763,1.6562244093402503,1.1408060796535777,0.22828308920801832,-0.3114847294416797,0.0,-12.190001234468815
22,264,0.1001342277839435,0.28135795987025913,1.141942611001079,0.9209107328536685,0.3192565724559114,1.4999619604667138,1.0720427309469984,0.2349558810440759,0.394047034460954,0.0,-13.979512936407069,1.267532900781201,0.9705355133521878,0.2091143121519068,0.42650795500160577,0.0,-11.658338001228882,0.9509122787741959,0.8253675293826479,0.21699682471200804,0.42650795500160577,0.0,-8.496376012665216
23,276,0.08605508096759475,0.2556303514320169,1.3444228535133547,1.0413870797696025,0.19718199854514365,1.943215115009948,1.2951142212297737,0.3239351375912234,0.21652558918554848,0.0,-21.581061956605364,1.6337314214811511,1.1897067272454585,0.1320791970330563,0.2555686886413951,0.0,-17.984717730918824,1.4835351494470368,1.1252474836914395,0.11881726641267516,0.2555686886413951,0.0,-16.2393673071516
24,288,0.2369676310654,0.43374982692326186,0.12081835114624939,0.2914089933463892,0.31639806712578505,0.7120345150454813,0.7172183486642615,0.2801094621824699,0.5380649573136994,0.0,-2.0047754279527275,0.37533774682776616,0.4947666412070911,0.1635159074847068,0.5380649573136994,0.0,-0.5839199013817116,0.15368168594108206,0.30756985772577955,0.13022553134836862,0.43180933977714353,1.0,0.35146549235381475
25,300,0.12511723885397963,0.32693880518719626,0.14168579336247022,0.30121018859566534,0.18871432572814642,0.6389205374947547,0.655686067165474,0.20643132531732036,0.5291710662531746,0.0,-4.106574788150645,0.5989641215092943,0.6473816875082065,0.14163177071761196,0.5291710662531746,0.0,-3.787222983783445,0.3209505394844005,0.4433116129117784,0.09512538685485473,0.5291710662531746,0.0,-1.5651983885207996
26,312,0.06798442526292464,0.19388362290469352,1.128402224356596,0.975593975857767,-0.40108656682759036,0.6130897606349334,0.6831520222858312,0.2552930675347867,-0.4554655730813485,0.0,-8.018091397608421,0.5564855056098229,0.6384490316911973,0.1266308183571535,-0.4554655730813485,0.0,-7.185485182196615,0.327091223035999,0.471637642929511,0.07839289171066416,-0.4554655730813485,0.0,-3.8112670184530995
27,324,0.04354138026848531,0.17329657962426273,0.28379541304207384,0.4959113773782667,0.2593925820932115,0.15555525176370705,0.33053212968317,0.2094916202218601,0.26245326393803686,0.0,-2.5725843049650847,0.19881863373176104,0.3857550323801586,0.16637780114816925,0.25519166705742796,0.0,-3.566199613007294,0.18376232213238217,0.37838103825222835,0.12781836612308917,0.14033618050591815,0.0,-3.2204064501231944
28,336,0.25550204086181605,0.4795224226275905,0.10067901711951288,0.2509818995560751,0.3011439370664228,0.08970534254952285,0.2455283870273746,0.33108551356291194,0.43219613907891824,1.0,0.6489055733294966,0.05465116030492125,0.19077601294424262,0.26411097977991116,0.40910750527945955,1.0,0.7861028423859894,0.040155468496494394,0.16590523024815884,0.22103630974480398,0.40910750527945955,1.0,0.8428369951134292
29,348,0.012063363400293563,0.08778220972412049,0.14295630609042262,0.32904717671340866,-0.15114337671688868,0.38802844989721513,0.5584302971719727,0.2560863761426267,-0.1424764324872074,0.0,-31.165859306515827,0.05190601450861617,0.18097502445373795,0.1876257787668814,-0.004990149647451675,0.0,-3.3027813045367624,0.06765698196198648,0.219143881954298,0.16230176550013448,-0.042644314815758116,0.0,-4.608467532391509
30,360,0.04705527717726008,0.18381906677844895,0.10475516893899818,0.2544299285419955,-0.020526405922488732,0.4711690304413496,0.6262210994921796,0.3912391381047041,-0.3166855355156623,0.0,-9.013096483661702,0.14020543901451854,0.28921601428688126,0.30626808457720023,-0.21329471517387696,0.0,-1.9795901209200437,0.0950095975339068,0.23132658506879192,0.2505782587521458,-0.21329471517387696,0.0,-1.0191061073978989
31,372,0.04513889190975168,0.1653453735458594,0.20654035731910003,0.3749314295517441,-0.26309979762181535,0.18648573172604646,0.36024008397146495,0.4528493659780925,-0.1581840149974092,0.0,-3.131375934059175,0.16381454359944225,0.3387488296958366,0.24753472644848448,-0.22350543945408408,0.0,-2.629121953790191,0.2157283625847554,0.39345010660069524,0.21025282092338599,-0.13026764144901706,0.0,-3.779212635881078
32,384,0.034542294478213255,0.15463116199552365,0.055848419432183605,0.19575275917989302,-0.010604001854386947,0.08891438465731515,0.2223596481624528,0.3348984676398493,0.03139989372904635,0.0,-1.574072915549829,0.0660174348699346,0.21988281192484252,0.16343822385003914,-0.11195847805024998,0.0,-0.9112058381522268,0.049340391776720484,0.14659279728003272,0.1594395025636392,0.03970578558070713,0.0,-0.4284051630629455
33,396,0.04028702881997458,0.155555516689711,0.36034114256579247,0.5032152155207855,-0.5485604242897782,0.21169613897124018,0.3792795925235635,0.20163434881486314,-0.2830123162609953,0.0,-4.254697235609488,0.08572773856404665,0.22434944592420422,0.1360390062684666,-0.34625229151615794,0.0,-1.1279240756901454,0.07473616680829312,0.1958338476548949,0.12051069509461161,-0.30012077892254896,0.0,-0.855092544606775
34,408,0.043147975632305324,0.16035108059985972,0.04646387012354425,0.160105150608308,0.04317137974782222,0.27963838366788374,0.43633144105464877,0.23463705537439727,-0.37245874739359464,0.0,-5.480915490703014,0.19283340822998274,0.35518028506440186,0.1361481379307664,-0.49184267750329874,0.0,-3.4691183167723496,0.1532173613664912,0.319952899864469,0.13835757045623426,-0.34693253241621647,0.0,-2.5509745039295844
35,420,0.137086171749546,0.3179575878501945,0.31940654298198995,0.4902920400708905,-0.35278513140522744,0.20259927822865656,0.37016943653755535,0.25569643879899207,-0.07957196640641637,0.0,-0.4778972644943493,0.35300682246551746,0.5192049605487528,0.20493867308951103,-0.4828653565222595,0.0,-1.57507243772519,0.4607036355962901,0.6126276699306458,0.20355958945177682,-0.5303039169979095,0.0,-2.3606864187438794
36,432,0.060586606282428145,0.19514173113659528,0.19278944188921734,0.3725004069639252,-0.32601077114086785,0.07660528381789868,0.2171290191504094,0.2983656376344687,-0.07918551524992441,0.0,-0.2643930485361483,0.24457680620265224,0.437948790964876,0.2132808157349126,-0.33628609865571696,0.0,-3.0368131045753346,0.28109892390977426,0.4814747928399523,0.23563177252550452,-0.2933221532856176,0.0,-3.639621546046243
37,444,0.12440892458050816,0.23302789093742696,0.10736112014348508,0.24873827082893882,0.04706506880564758,0.10716061153019239,0.24237844483597878,0.38767722014857536,0.1677288976778249,1.0,0.13864208784438092,0.11049540250995271,0.24803390790284227,0.24822266047432198,0.1677288976778249,1.0,0.11183700942251662,0.11264289820503119,0.24734725161420315,0.260589948379947,0.12512697924991373,1.0,0.09457542065531543
38,456,0.1974861135746245,0.30850953531895026,0.22243311704838323,0.3343880582308696,-0.08093870394330145,0.14574851916104792,0.3148944736232266,0.22110235985629126,0.539999745416862,1.0,0.26198092350440827,0.1433117459051479,0.3105789596863949,0.12801810797724208,0.4721164706392467,1.0,0.27431988350414127,0.13892488654288418,0.281281472821074,0.1568559941664432,0.47224069333385205,1.0,0.2965333914964693
39,468,0.17424481656230148,0.34198513731051067,0.11871250346489563,0.28948658038996883,0.38248892502331555,0.14774810624562854,0.31432601374795505,0.20639152022830404,0.34319417767367566,1.0,0.15206598875897703,0.1676522275260152,0.3385796907958807,0.0657953115811922,0.11074350460150814,1.0,0.03783520891095837,0.15955209501252712,0.32940696094128036,0.08406913978991797,0.13527398207587096,1.0,0.08432228768493066
40,480,0.2572547443815505,0.3942091014816414,0.20175338201332446,0.36120575726306997,-0.10031046259944168,0.15008836474948398,0.3163710873667546,0.15769816802127884,0.4770655255981163,1.0,0.41657688331345755,0.18059078783324964,0.3450279410582178,0.08704903609129373,0.3706650098614802,1.0,0.2980079404661854,0.16747260102121783,0.33398539754074025,0.10391483370372614,0.4599152584263549,1.0,0.3490009234860648
