window_idx,start_index,transition_structure_cosine,transition_structure_pearson,transition_delta_cosine,transition_delta_pearson,transfer_mse,transfer_mae,persistence_mse,persistence_mae,transfer_skill,random_mse,random_mae,random_skill,oracle_bc_fit_mse,retrieved_state_similarity,retrieved_window_idx,retrieved_mse,retrieved_mae,retrieved_skill
0,0,0.9036295985631525,0.9036645518232415,0.10843069026288651,-0.5410617066983282,0.0989382758456318,0.26223343822189477,0.10943478634336441,0.2680417253558993,0.09591566674968033,,,,0.07489399440921464,,,,,
1,12,0.8546121861297097,0.8686063736806301,0.02947020151445206,-0.669505751188945,0.16780580168994655,0.3362623769146849,0.2018244413050116,0.3562479325972538,0.16855559908947615,,,,0.11180722319779388,,,,,
2,24,0.8326326287698605,0.8516300555045476,0.1611330332446727,-0.5672064031008046,0.16719535810145358,0.3356671077716344,0.2282317898468433,0.39214272586015114,0.2674317709480729,,,,0.09233736975054124,,,,,
3,36,0.7575379320271312,0.7836101617393437,0.13455346684608474,-0.5408933606126912,0.2604644814298813,0.4392999451883109,0.28642337238127297,0.4595989897791969,0.0906311895414611,,,,0.0730646222432311,,,,,
4,48,0.6782048979219817,0.7077115282128352,0.09588863702898111,-0.5437623751199414,0.33147271104901394,0.5177902781609008,0.30446244446993703,0.4899053251268502,-0.0887146085491799,,,,0.06321364851219931,,,,,
5,60,0.4349042450421372,0.4922681073000155,0.21509197988043613,-0.3460802327172025,0.367149184107535,0.553314367360602,0.3272404737737175,0.5246232037635441,-0.12195530055800452,,,,0.055461631443130675,,,,,
6,72,0.4044367880423255,0.42669863404022135,0.11700841570760334,0.03269482044391131,0.4122216619057694,0.5606632427591562,0.45386168586744907,0.5944281740036037,0.09174606550472442,,,,0.19380560336795696,,,,,
7,84,0.5325242944399748,0.5521521969613982,-0.1724510767119494,-0.2491467638173046,0.3423119506230234,0.4956568048975209,0.45387431052158006,0.5931627806057556,0.24580011979605598,,,,0.1264360881557384,,,,,
8,96,0.4785090072671943,0.5236981627770726,-0.31694519308714436,-0.3379253320303238,0.36744486943229215,0.49916167269134665,0.3813596687430991,0.5394116272807807,0.03648733846625141,0.2415270519116225,0.35931708341593177,0.36666860261427936,0.17171616186664057,0.4992925165274566,0.0,0.2415270519116225,0.35931708341593177,0.36666860261427936
9,108,0.43276836781471156,0.5020977418750119,-0.46845726821388306,-0.42713150382527737,0.5109380429304414,0.5964948299845468,0.3965315320450884,0.5597974756771844,-0.28851806638253485,0.22313692467892648,0.33530325622341917,0.4372782322552995,0.14743840737874495,0.35855559322992436,1.0,0.21319362972405956,0.32962696928753454,0.4623539050614064
10,120,0.21738934762831866,0.29087574999178084,-0.4013870256752893,-0.21795801326800204,0.6081560767412795,0.6440236697758968,0.3405122288096456,0.4938732543463242,-0.7860036300818234,0.22634246344873055,0.33573354590647025,0.3352882971634439,0.167854176367099,0.38719007187163007,2.0,0.22634246344873055,0.33573354590647025,0.3352882971634439
11,132,0.05124078594325392,0.10322260858184683,-0.35916604878337416,0.033494634205089475,0.5838951427575734,0.6377704665571289,0.3086369378121582,0.44336567219497636,-0.8918511403613723,0.2142790718243086,0.32407136466228637,0.3057244756791794,0.15568230260840157,0.369883613686657,3.0,0.22620279540830515,0.3536910290654598,0.26709098071088266
12,144,-0.04717084253957608,-0.025538577805552142,-0.3727171554686719,0.05922980956673836,0.42269923362081063,0.5147325908515734,0.30304976432027353,0.4332644032304141,-0.3948178925956445,0.22162104019793474,0.3388599969373999,0.2686975332417091,0.15125181019923548,0.37291458557123414,4.0,0.3732071971919776,0.5238736244549497,-0.23150466072482812
13,156,-0.27404164577762324,-0.2267912362884913,-0.5720076627400744,-0.490947513177044,0.6486880847519616,0.721127928823637,0.15988717077707412,0.33469409985887,-3.057161569619666,0.09579563246896616,0.25183012674061683,0.4008547902662488,0.08356996227711389,0.3987785103810256,3.0,0.14567784298964426,0.3133055531970458,0.0888709689362226
14,168,0.4546213720649458,0.47715571626466996,-0.7146187650733757,-0.8376653807802062,0.26889613886819536,0.4010886560450157,0.2607420663178749,0.37591067005760065,-0.031272562442531626,0.24181763268030143,0.41847142602935783,0.07257913502343105,0.05031916652651773,0.28881095407755875,4.0,0.3160424149677896,0.5078030214102249,-0.21208832709984415
15,180,0.6023567193705542,0.5825038877051971,-0.7115077163876551,-0.8442676556239614,0.8442606577305364,0.7280027781360194,0.25839947391780826,0.3697786238832556,-2.267269259221011,0.08642824620326736,0.2375285091505687,0.6655246820248617,0.051584226866793884,0.3818074828642397,5.0,0.28186808965275584,0.46560820584092855,-0.09082300122024423
16,192,0.5913220629916397,0.5892885992601672,-0.6508131054782706,-0.745166080655031,0.27513314662763994,0.438180908466547,0.22532716147000512,0.3244095008645221,-0.22103853273927143,0.2621055896643516,0.4464709315920465,-0.16322234725014417,0.037007459013868656,0.49961114404922413,5.0,0.30080417363273476,0.48773150463870385,-0.3349663292713023
17,204,0.45510172195769166,0.45397589965616675,-0.730119282572897,-0.7523656675369599,0.2740849315275544,0.43005724699499837,0.2420348911141928,0.350654315070917,-0.1324190915856025,0.10642905133143828,0.2771413513795329,0.5602739305829062,0.04092394696882175,0.32032102804256535,6.0,0.24862199245366814,0.43639860946549736,-0.027215503141518216
18,216,0.42389350990513397,0.4239897931872714,-0.7836868245496506,-0.7459937185836959,0.2648296352037472,0.43434536105912225,0.2562113291983439,0.38185809752204336,-0.033637489928212805,0.13083076688151282,0.3067634719783746,0.48936384940171296,0.04305297489175406,0.49258986089586415,7.0,0.1225219639557411,0.28102727241563313,0.5217933401341057
19,228,0.283605512721076,0.2852843485589367,-0.8596336342033108,-0.8157028591507837,0.2682991027363779,0.42968686329476097,0.2405432819843277,0.36255943297978166,-0.11538805209225766,0.26157362987118243,0.4388933069943361,-0.08742853973458686,0.04373600976766478,0.5853834493136016,9.0,0.13576642652720103,0.2864606075775646,0.4355842100132037
20,240,0.10452434289335075,0.1100852097908003,-0.7788131762050391,-0.6902588663493597,0.4807960914580078,0.5946356333706994,0.25326577411067996,0.38267350191851474,-0.8983855720192755,0.08340044346291264,0.22115550421988855,0.6706999050473132,0.04443941045902493,0.6291255637067256,10.0,0.1266228900371917,0.27637392417777223,0.5000394724402986
21,252,0.2600298076556025,0.2820894093513347,-0.5068218142996019,-0.3396050362599649,0.20749449812896714,0.4100851845994548,0.17277688437582092,0.3520120386088793,-0.20093899643212199,0.09349717308983636,0.23958293206358572,0.4588560071122527,0.03432831481276307,0.7256065927777565,11.0,0.07565696844838259,0.22042292255327242,0.562111744741183
22,264,0.5853111460774962,0.6180052665266095,0.11938279852793822,0.11351073733235766,0.17254166745375804,0.3543692392749525,0.21914679818441685,0.3910645285324386,0.21266626351273255,0.08187756975119367,0.23397258176043445,0.626380260037877,0.04872674212009171,0.6563307141979835,12.0,0.07103032612381292,0.20486223376495014,0.6758778740447791
