window_idx,start_index,coef_cosine_similarity,coef_pearson_similarity,transfer_mse,transfer_mae,random_mse,random_mae,persistence_mse,persistence_mae,transfer_skill,random_skill,retrieved_state_similarity,retrieved_mse,retrieved_mae,retrieved_skill
0,0,0.9306964846704313,0.9267202633791658,0.12272480304331013,0.2614256084472946,,,0.12847291378096368,0.2691796889429304,0.04474181030449442,,,,,
1,12,0.848132987209122,0.8408718365775009,0.18198788102623178,0.33039244661301986,,,0.2002967397569786,0.3455126615694821,0.09140867072005798,,,,,
2,24,0.7640104025150752,0.7502008151128555,0.2156141435545362,0.3769834768382509,,,0.26817764805398703,0.41315831503017825,0.1960025560701063,,,,,
3,36,0.8056921561542542,0.7945790536342947,0.2564364310416461,0.4330904350486322,,,0.4033614344950623,0.5425538086577127,0.36425148982658817,,,,,
4,48,0.8041870622502529,0.799475821756323,0.269224251480043,0.4542148040134784,,,0.42366082134738364,0.5805005319252077,0.3645287977684142,,,,,
5,60,0.7253490647183922,0.715766339856838,0.2607058335091483,0.4516463230284444,,,0.14781934110312775,0.3195630478788484,-0.7636787687158209,,,,,
6,72,0.8999360773003192,0.8956638851700385,0.33819710048414114,0.5028233543688164,,,0.23030398204945687,0.34920190245512434,-0.4684813413756548,,,,,
7,84,0.885598099455072,0.8781667024220166,0.23071282698181383,0.38870381622849703,,,0.35956336798795907,0.4193142936132885,0.3583528036439466,,,,,
8,96,0.8887189553296836,0.8801152554427013,0.24159877966260201,0.32952609884478035,0.27155158245412153,0.4310707054291452,0.3795090911208507,0.4477655684057578,0.3633913249638928,0.2844661990780907,0.4992925165274566,0.27155158245412153,0.4310707054291452,0.2844661990780907
9,108,0.7702465629358191,0.7545500657300759,0.24121601526478612,0.355789643081797,0.24414711054615199,0.3928431632287486,0.24503650535558133,0.42530671461346287,0.015591513947079694,0.0036296420736930957,0.35855559322992436,0.25749099900249844,0.3989601665138596,-0.05082709463573165
10,120,0.7232804817454662,0.699272345042497,0.27578957290440126,0.3628628971426279,0.2475988779691717,0.4012441000636017,0.320596779996434,0.40473654797502995,0.13976187500239745,0.22769380911459636,0.38719007187163007,0.2475988779691717,0.4012441000636017,0.22769380911459636
