query_idx,query_start,persistence_mse,persistence_mae,random_mse,random_mae,random_true_transition_similarity,M0_mse,M0_mae,M0_mean_context_similarity,M0_mean_true_transition_similarity,M0_beats_persistence,M0_skill_vs_persistence,M1_mse,M1_mae,M1_mean_context_similarity,M1_mean_true_transition_similarity,M1_beats_persistence,M1_skill_vs_persistence,M2_mse,M2_mae,M2_mean_context_similarity,M2_mean_true_transition_similarity,M2_beats_persistence,M2_skill_vs_persistence
20,240,0.2174486442842385,0.3637226859206913,0.20039735720978044,0.3317629689435292,0.12928712504363732,0.21298456459238854,0.3469837114177164,0.2628368372844678,0.12928712504363732,1.0,0.020529351684596908,0.23312670238208036,0.3488868828114202,0.12258893911866024,0.12928712504363732,0.0,-0.0721000498736073,0.22674250859035708,0.3347366090792571,0.1378139065098804,0.12928712504363732,0.0,-0.04274050241476823
21,252,0.23540748626573724,0.39916420594812707,0.20962440953118264,0.34862223214471505,0.14878187426330775,0.3171344044779456,0.4515570506900075,-0.004079977419017039,0.1075721603024794,0.0,-0.3471721290968284,0.27835051990733994,0.4298793814953634,0.05491316747231144,0.12073873620892131,0.0,-0.18241999998728553,0.2560499936653125,0.41307804862025427,0.08466869240819253,0.12073873620892131,0.0,-0.08768840671563516
22,264,0.6350803942539652,0.7436575414645422,0.4983098414817501,0.6416191313593756,0.1339430150764945,0.5601083947495238,0.6957406804237237,-0.23250625887996185,0.11234309436352734,1.0,0.11805119506564477,0.5601083947495238,0.6957406804237237,-0.10626120791014182,0.11234309436352734,1.0,0.11805119506564477,0.5415351823419495,0.6668858029092591,-0.01782883988211071,0.11234309436352734,1.0,0.14729664583946744
23,276,0.05532651503931676,0.17735877755730142,0.06378441732576075,0.20023229260853084,0.03658272683431467,0.10048289774841734,0.2644298593494914,-0.2513134723746408,0.014880540170039142,0.0,-0.8161797770383883,0.05632161567060084,0.1906999061172571,-0.10495664409756822,0.10431204348909542,0.0,-0.017985962618048967,0.11988029299268453,0.27950762028830783,-0.02589252743486172,0.10431204348909544,0.0,-1.166778314294581
24,288,0.16980825618686982,0.3529853239462595,0.10838564927563903,0.2663107090942232,0.2164388310667234,0.3036785381502134,0.4554164680339192,-0.16785864650874804,-0.00578067072207335,0.0,-0.7883614434861319,0.28635369468739785,0.484090186759571,-0.05927448345554005,0.21361432712562944,0.0,-0.6863355240646996,0.19828506671573654,0.3819137840518418,0.02523209316414025,0.37856120562491047,0.0,-0.167699799575874
25,300,0.06486942766283957,0.20291319817731823,0.1868945494080246,0.361892961171314,-0.04555859640357107,0.1328076587835997,0.2728407985112079,-0.05180865627002553,-0.01591562548563958,0.0,-1.0473073922259766,0.13006622178011573,0.2729719612118215,0.03140286705019302,0.05672994387993245,0.0,-1.0050465445161332,0.1576820683198734,0.31567053083359536,0.11743566303019679,0.12039313596748909,0.0,-1.4307608992548815
26,312,0.05818740151527637,0.18487003971418303,0.07203713827157023,0.213237170984472,0.06842029444731293,0.09627110003252122,0.24388692060671346,0.15051854710982027,0.2275631004699056,0.0,-0.6545007600527832,0.12608983640270685,0.2671610001561178,0.12638667983229576,0.1836692423056213,0.0,-1.1669611139037297,0.12929469653781614,0.2900701773665257,0.20160289210330068,0.24521738090789716,0.0,-1.2220393619720489
27,324,0.0948835223462201,0.2520196704116757,0.2629976617672029,0.44989188276413855,-0.19171819389743133,0.27139462130915204,0.48066935516808645,0.3214781235814353,-0.22449103539927964,0.0,-1.8602924364344453,0.26475343283631964,0.45472717438362364,0.21951325299564992,-0.06878694402063538,0.0,-1.7902993722161988,0.3051923176994103,0.4811228834783677,0.2627987578389447,-0.03900105391002616,0.0,-2.2164943938927064
28,336,0.08992804085113519,0.23941277178007336,0.057555049710926696,0.17833306332591048,0.29629677577438285,0.10472921725314815,0.2592863596061913,0.44874177546589455,0.24698567447502945,0.0,-0.16458911216040484,0.13767948400769306,0.2957187239186884,0.29555105894216827,0.3968325781712746,0.0,-0.5309961465256927,0.14088815163095314,0.298116652446897,0.31799684730293815,0.4499582819227901,0.0,-0.5666765371234557
29,348,0.8474766063804712,0.8805982138719851,0.40215585496025213,0.5810057866740245,0.4792044884731103,0.5605471819304857,0.6984226023965497,0.45976991223402897,0.18862685779003177,1.0,0.33856913841603986,0.40556604624425985,0.5811154434652145,0.3808762389315815,0.34146204868856866,1.0,0.5214427829737844,0.46092182237071394,0.6215485966513743,0.38213270390706805,0.226489279042868,1.0,0.45612442998363434
